name,year,total_taxes,property_taxes,sales_and_gross_receipts_taxes,general_sales_and_gross_receipts_taxes,selective_sales_and_gross_receipts_taxes,alcoholic_beverages_sales_tax,amusements_sales_tax,insurance_premiums_sales_tax,motor_fuels_sales_tax,pari_mutuels_sales_tax,public_utilities_sales_tax,tobacco_products_sales_tax,other_selective_sales_and_gross_receipts_taxes,license_taxes,alcoholic_beverages_license,amusements_license,corporations_in_general_license,hunting_and_fishing_license,motor_vehicle_license,motor_vehicle_operators_license,public_utilities_license,occupation_and_business_license_nec,other_license_taxes,income_taxes,individual_income_taxes,corporations_net_income_taxes,other_taxes,death_and_gift_taxes,documentarty_and_stock_transfer_taxes,severance_taxes,taxes_nec
idaho,2019,4870128,0,2520264,1908887,611377,9957,0,105731,376941,971,2371,50300,65106,387442,1716,222,3447,49447,205568,10892,59279,52942,3929,1953737,1668776,284961,8685,0,0,5633,3052
illinois,2020,45284625,59589,20650013,11861155,8788858,302685,797775,392704,1803859,6122,1370658,730407,3384648,2748276,12647,17348,311797,40719,1764038,127569,11823,426818,35517,21448044,17956356,3491688,378703,301768,76935,0,0
illinois,2019,45453840,60781,19534290,12013541,7520749,297250,932478,423518,1350508,5748,1443634,769476,2298137,2779724,18250,16360,355316,35195,1738986,115614,18455,444895,36653,22584556,18762174,3822382,494489,413174,81315,0,0
indiana,2020,22374096,13881,12506535,8233400,4273135,52895,427194,248491,1449018,1659,187813,409215,1496850,792545,13694,5442,9112,20208,366896,261793,0,37700,77700,9060144,8303278,756866,991,139,0,852,0
indiana,2019,22968677,13225,12580882,8087116,4493766,52107,590755,256432,1474857,1662,223409,404978,1489566,767938,13319,12272,10234,17990,348289,254667,0,34442,76725,9605266,8852914,752352,1366,248,0,1118,0
iowa,2020,10661437,1815,4958143,3546984,1411159,15505,241736,143407,670179,3058,71987,211564,53723,1021357,17525,28064,75484,35439,698847,13726,11062,138016,3194,4580513,3960027,620486,99609,76275,23334,0,0
iowa,2019,10583869,1982,4857865,3404630,1453235,22248,302652,153428,665799,3788,56212,202021,47087,990985,18589,29593,52940,30075,685933,20887,7375,137217,8376,4633614,4098020,535594,99423,77255,22168,0,0
kansas,2020,9659846,783279,4598189,3414591,1183598,139208,246,422817,453222,0,348,125636,42121,432005,3709,5932,28040,30082,225983,28036,5698,101828,2697,3813961,3380030,433931,32412,0,0,32412,0
kansas,2019,10030158,752820,4523724,3334645,1189079,146811,290,405805,460037,0,392,125661,50083,433280,2759,7541,27635,30185,229649,32141,5206,95497,2667,4264874,3778453,486421,55460,0,0,55460,0
kentucky,2020,13370578,654791,6539197,4191324,2347873,159588,145,178083,690280,16078,70648,382071,850980,545074,3721,275,151794,30778,205245,14038,0,134316,4907,5470599,4831399,639200,160917,48250,3491,109176,0
